"","PMY","X21","X25","X38.5","X40","ratioMaxGrowth","maxGrowth30C","maxGrowth35halfC","maxGrowth37C"
"7",1495,2.99884228297671e-05,3.75729213439754e-05,9.05947804494887e-07,7.09247226605417e-07,0.126506301189663,3.80639852004699e-05,4.81533397624951e-06,7.97676000590023e-07
"8",1496,4.00328818065459e-05,4.87571142287878e-05,6.82687566905669e-07,6.7837999781591e-07,0.848342626324107,5.32655261869619e-05,4.51874163779828e-05,2.15046092557128e-05
"11",1499,3.12058149316956e-05,3.74856623373357e-05,2.35673640892739e-05,1.50436428631613e-05,0.870051644496334,4.95852694278768e-05,4.3141745208518e-05,3.51615751908778e-05
"13",1501,3.45595454128054e-05,4.58417288606191e-05,4.46616534723799e-05,8.69258437236717e-06,0.873579705507074,5.00771427967744e-05,4.37463756570419e-05,4.69248288838446e-05
"25",1513,2.98532725312373e-05,4.2792258484602e-05,3.62649963739294e-05,2.56435937762872e-06,0.861884631621264,5.33342758114316e-05,4.59679926605226e-05,3.24162407091196e-05
"26",1514,3.19110867965831e-05,4.17276304929492e-05,8.41936164343498e-06,1.51004006102175e-05,0.441901566756402,4.28866645488177e-05,1.89516842570788e-05,5.74870476150882e-06
"27",1515,3.26699372300364e-05,4.24497397792543e-05,7.41505569317164e-06,1.00933193799988e-05,0.200477863674129,4.62538455264629e-05,9.27287213785843e-06,2.33849262174859e-05
"32",1520,3.1348925891612e-05,4.13343754366762e-05,1.22033921798539e-06,8.99920287437626e-07,0.221952762248576,4.66002841129919e-05,1.0343061780447e-05,2.54882142585765e-06
"34",1522,3.24692812649608e-05,4.15252708708473e-05,4.30105084731878e-05,8.38137541192803e-06,0.885160980145384,4.50862983413663e-05,3.9908632030971e-05,4.66168447890218e-05
"35",1523,3.28418718266409e-05,4.21624874093498e-05,1.39377138500616e-06,4.69543069775319e-06,0.462251432475427,4.41617676813618e-05,2.04138403713565e-05,2.69114102254503e-06
"36",1524,2.93538307693639e-05,2.64637498645172e-05,2.07779508390405e-05,7.55863406977394e-07,0.667302010823912,3.41103534918077e-05,2.27619074749978e-05,2.57293659595364e-05
"41",1529,3.51117195621309e-05,5.5087681196065e-05,3.93540651112412e-05,1.85020294066413e-05,0.894351785092231,5.30134773200323e-05,4.74126980751174e-05,5.30279464636577e-05
"51",1540,2.03437746953009e-05,3.13443835973918e-05,1.33230070987483e-06,6.82848017161237e-07,0.282440127904151,4.30061803479771e-05,1.21466710781516e-05,3.55267792270885e-06
"62",1551,3.22155808216011e-05,4.31263191518743e-05,4.52197393886216e-07,3.23054837520446e-07,0.326460693221095,4.16000218156887e-05,1.35807719599624e-05,7.70216037314043e-07
"64",1553,3.8385839297268e-05,4.92840182957824e-05,2.66705320754005e-05,2.55758369766498e-05,0.845221585286109,4.42893102746007e-05,3.74342810415263e-05,3.28481221599301e-05
"65",1554,3.04442239629175e-05,4.01367894641674e-05,2.19366809648101e-06,1.41360279031419e-06,0.438457553129762,4.76949897881417e-05,2.09122285190576e-05,3.38318864964769e-06
"66",1555,3.65532807621134e-05,4.93726268235693e-05,1.74338225878747e-05,5.2288964898625e-07,0.806628184048157,5.36339552749302e-05,4.3262659946737e-05,2.25669225070221e-05
"77",1568,3.58704896669597e-05,4.61391479815829e-05,4.98109806045349e-06,1.61338564485267e-06,0.742056026064792,4.98088244480004e-05,3.69609383328421e-05,1.03992924422493e-05
"86",1577,7.31921365974176e-05,8.93850065464503e-05,2.80936297595195e-05,5.40874754812419e-07,0.763138397470666,7.67837019633048e-05,5.85965912681417e-05,4.30507039259296e-05
"87",1578,2.76676107166172e-05,3.37602174906459e-05,9.21571104616633e-07,9.72470904779762e-07,0.0985458015426122,4.25964720790026e-05,4.19770348391281e-06,1.31386738932362e-06
"88",1579,3.15792300539132e-05,4.04860206437837e-05,2.19579811243797e-06,6.80781017086974e-07,0.815871799783845,4.25857714460868e-05,3.47445299949023e-05,3.52689519827288e-05
